2023-05-07T20:06:30.872Z | lQB8L | user0 | 89
2023-05-07T20:06:30.888Z | lQB8L | user6 | 89
2023-05-07T20:06:31.099Z | lQB8L | user9 | 89
2023-05-07T20:06:31.113Z | lQB8L | user2 | 89
2023-05-07T20:06:31.161Z | lQB8L | user3 | 89
2023-05-07T20:06:31.234Z | lQB8L | user8 | 89
2023-05-07T20:06:31.282Z | lQB8L | user4 | 88
2023-05-07T20:06:31.325Z | lQB8L | user5 | 90
2023-05-07T20:06:31.680Z | lQB8L | user1 | 90
2023-05-07T20:06:31.863Z | lQB8L | desmond | 90
2023-05-07T20:06:31.873Z | lQB8L | user0 | 90
2023-05-07T20:06:31.890Z | lQB8L | user6 | 90
2023-05-07T20:06:32.101Z | lQB8L | user9 | 90
2023-05-07T20:06:32.114Z | lQB8L | user2 | 90
2023-05-07T20:06:32.162Z | lQB8L | user3 | 90
2023-05-07T20:06:32.235Z | lQB8L | user8 | 90
2023-05-07T20:06:32.283Z | lQB8L | user4 | 89
2023-05-07T20:06:32.326Z | lQB8L | user5 | 91
2023-05-07T20:06:32.683Z | lQB8L | user1 | 91
2023-05-07T20:06:32.865Z | lQB8L | desmond | 91
2023-05-07T20:06:32.876Z | lQB8L | user0 | 91
2023-05-07T20:06:32.891Z | lQB8L | user6 | 91
2023-05-07T20:06:33.115Z | lQB8L | user2 | 91
2023-05-07T20:06:33.102Z | lQB8L | user9 | 91
2023-05-07T20:06:33.164Z | lQB8L | user3 | 91
2023-05-07T20:06:33.238Z | lQB8L | user8 | 91
2023-05-07T20:06:33.285Z | lQB8L | user4 | 90
2023-05-07T20:06:33.328Z | lQB8L | user5 | 91
2023-05-07T20:06:33.685Z | lQB8L | user1 | 91
2023-05-07T20:06:33.867Z | lQB8L | desmond | 93
2023-05-07T20:06:33.878Z | lQB8L | user0 | 91
2023-05-07T20:06:33.893Z | lQB8L | user6 | 91
2023-05-07T20:06:34.103Z | lQB8L | user9 | 91
2023-05-07T20:06:34.117Z | lQB8L | user2 | 91
2023-05-07T20:06:34.165Z | lQB8L | user3 | 92
2023-05-07T20:06:34.239Z | lQB8L | user8 | 92
2023-05-07T20:06:34.286Z | lQB8L | user4 | 91
2023-05-07T20:06:34.329Z | lQB8L | user5 | 92
2023-05-07T20:06:34.687Z | lQB8L | user1 | 92
2023-05-07T20:06:34.868Z | lQB8L | desmond | 92
2023-05-07T20:06:34.879Z | lQB8L | user0 | 92
2023-05-07T20:06:34.896Z | lQB8L | user6 | 92
2023-05-07T20:06:35.105Z | lQB8L | user9 | 92
2023-05-07T20:06:35.118Z | lQB8L | user2 | 92
2023-05-07T20:06:35.167Z | lQB8L | user3 | 92
2023-05-07T20:06:35.242Z | lQB8L | user8 | 92
2023-05-07T20:06:35.287Z | lQB8L | user4 | 91
2023-05-07T20:06:35.330Z | lQB8L | user5 | 93
2023-05-07T20:06:35.689Z | lQB8L | user1 | 93
2023-05-07T20:06:35.871Z | lQB8L | desmond | 93
2023-05-07T20:06:35.882Z | lQB8L | user0 | 93
2023-05-07T20:06:35.897Z | lQB8L | user6 | 93
