2023-05-07T20:10:48.604Z | lQB8L | user8 | play
2023-05-07T20:10:48.603Z | lQB8L | user6 | play
2023-05-07T20:10:48.644Z | lQB8L | user2 | play
2023-05-07T20:10:48.645Z | lQB8L | user9 | play
2023-05-07T20:10:48.657Z | lQB8L | user1 | play
2023-05-07T20:11:08.528Z | lQB8L | desmond | pause
2023-05-07T20:11:08.549Z | lQB8L | user5 | pause
2023-05-07T20:11:08.549Z | lQB8L | user1 | pause
2023-05-07T20:11:08.547Z | lQB8L | user3 | pause
2023-05-07T20:11:08.548Z | lQB8L | user2 | pause
2023-05-07T20:11:08.552Z | lQB8L | user9 | pause
2023-05-07T20:11:08.550Z | lQB8L | user0 | pause
2023-05-07T20:11:08.573Z | lQB8L | user6 | pause
2023-05-07T20:11:08.550Z | lQB8L | user4 | pause
2023-05-07T20:11:08.550Z | lQB8L | user8 | pause
2023-05-07T20:11:22.396Z | lQB8L | desmond | play
2023-05-07T20:11:22.484Z | lQB8L | user5 | play
2023-05-07T20:11:22.487Z | lQB8L | user4 | play
2023-05-07T20:11:22.485Z | lQB8L | user8 | play
2023-05-07T20:11:22.484Z | lQB8L | user3 | play
2023-05-07T20:11:22.486Z | lQB8L | user0 | play
2023-05-07T20:11:22.493Z | lQB8L | user9 | play
2023-05-07T20:11:22.487Z | lQB8L | user1 | play
2023-05-07T20:11:22.489Z | lQB8L | user6 | play
2023-05-07T20:11:22.564Z | lQB8L | user2 | play
2023-05-07T20:11:34.047Z | lQB8L | desmond | pause
2023-05-07T20:11:34.066Z | lQB8L | user2 | pause
2023-05-07T20:11:34.070Z | lQB8L | user5 | pause
2023-05-07T20:11:34.065Z | lQB8L | user3 | pause
2023-05-07T20:11:34.066Z | lQB8L | user6 | pause
2023-05-07T20:11:34.065Z | lQB8L | user9 | pause
2023-05-07T20:11:34.079Z | lQB8L | user8 | pause
2023-05-07T20:11:34.075Z | lQB8L | user1 | pause
2023-05-07T20:11:34.091Z | lQB8L | user4 | pause
2023-05-07T20:11:34.113Z | lQB8L | user0 | pause
2023-05-07T20:11:45.909Z | lQB8L | desmond | play
2023-05-07T20:11:45.931Z | lQB8L | user6 | play
2023-05-07T20:11:45.934Z | lQB8L | user9 | play
2023-05-07T20:11:45.937Z | lQB8L | user0 | play
2023-05-07T20:11:45.941Z | lQB8L | user4 | play
2023-05-07T20:11:45.938Z | lQB8L | user5 | play
2023-05-07T20:11:45.938Z | lQB8L | user8 | play
2023-05-07T20:11:45.990Z | lQB8L | user2 | play
2023-05-07T20:11:45.931Z | lQB8L | user1 | play
2023-05-07T20:11:45.992Z | lQB8L | user3 | play
2023-05-07T20:11:50.406Z | lQB8L | desmond | pause
2023-05-07T20:11:50.423Z | lQB8L | user5 | pause
2023-05-07T20:11:50.422Z | lQB8L | user3 | pause
2023-05-07T20:11:50.425Z | lQB8L | user8 | pause
2023-05-07T20:11:50.424Z | lQB8L | user6 | pause
2023-05-07T20:11:50.423Z | lQB8L | user2 | pause
2023-05-07T20:11:50.422Z | lQB8L | user9 | pause
2023-05-07T20:11:50.422Z | lQB8L | user1 | pause
2023-05-07T20:11:50.431Z | lQB8L | user0 | pause
2023-05-07T20:11:50.447Z | lQB8L | user4 | pause
