2023-05-07T19:55:33.275Z | kPaGU | user5 | 79
2023-05-07T19:55:33.524Z | kPaGU | user0 | 79
2023-05-07T19:55:33.626Z | kPaGU | user2 | 79
2023-05-07T19:55:33.782Z | kPaGU | user1 | 79
2023-05-07T19:55:33.903Z | kPaGU | user4 | 79
2023-05-07T19:55:33.972Z | kPaGU | desmond | 79
2023-05-07T19:55:33.990Z | kPaGU | user3 | 79
2023-05-07T19:55:34.278Z | kPaGU | user5 | 79
2023-05-07T19:55:34.527Z | kPaGU | user0 | 80
2023-05-07T19:55:34.629Z | kPaGU | user2 | 80
2023-05-07T19:55:34.784Z | kPaGU | user1 | 80
2023-05-07T19:55:34.905Z | kPaGU | user4 | 81
2023-05-07T19:55:34.974Z | kPaGU | desmond | 81
2023-05-07T19:55:34.991Z | kPaGU | user3 | 80
2023-05-07T19:55:35.279Z | kPaGU | user5 | 81
2023-05-07T19:55:35.530Z | kPaGU | user0 | 81
2023-05-07T19:55:35.629Z | kPaGU | user2 | 81
2023-05-07T19:55:35.786Z | kPaGU | user1 | 81
2023-05-07T19:55:35.906Z | kPaGU | user4 | 81
2023-05-07T19:55:35.975Z | kPaGU | desmond | 81
2023-05-07T19:55:35.992Z | kPaGU | user3 | 81
2023-05-07T19:55:36.282Z | kPaGU | user5 | 81
2023-05-07T19:55:36.532Z | kPaGU | user0 | 81
2023-05-07T19:55:36.631Z | kPaGU | user2 | 81
2023-05-07T19:55:36.788Z | kPaGU | user1 | 81
2023-05-07T19:55:36.908Z | kPaGU | user4 | 83
2023-05-07T19:55:36.977Z | kPaGU | desmond | 83
2023-05-07T19:55:36.994Z | kPaGU | user3 | 81
2023-05-07T19:55:37.285Z | kPaGU | user5 | 83
2023-05-07T19:55:37.535Z | kPaGU | user0 | 82
2023-05-07T19:55:37.633Z | kPaGU | user2 | 82
2023-05-07T19:55:37.790Z | kPaGU | user1 | 82
2023-05-07T19:55:37.909Z | kPaGU | user4 | 82
2023-05-07T19:55:37.979Z | kPaGU | desmond | 83
2023-05-07T19:55:37.997Z | kPaGU | user3 | 82
2023-05-07T19:55:38.287Z | kPaGU | user5 | 82
2023-05-07T19:55:38.537Z | kPaGU | user0 | 83
2023-05-07T19:55:38.635Z | kPaGU | user2 | 83
