2023-05-07T20:25:18.615Z | Fjfnu | user3 | 10
2023-05-07T20:25:18.623Z | Fjfnu | user7 | 12
2023-05-07T20:25:18.629Z | Fjfnu | user9 | 8
2023-05-07T20:25:18.812Z | Fjfnu | user12 | 16
2023-05-07T20:25:18.926Z | Fjfnu | user17 | 6
2023-05-07T20:25:18.963Z | Fjfnu | user10 | 6
2023-05-07T20:25:19.069Z | Fjfnu | user2 | 20
2023-05-07T20:25:19.147Z | Fjfnu | user0 | 16
2023-05-07T20:25:19.258Z | Fjfnu | user18 | 26
2023-05-07T20:25:19.219Z | Fjfnu | user1 | 12
2023-05-07T20:25:19.362Z | Fjfnu | mansi | 18
2023-05-07T20:25:19.403Z | Fjfnu | user13 | 24
2023-05-07T20:25:19.484Z | Fjfnu | user11 | 28
2023-05-07T20:25:19.484Z | Fjfnu | user6 | 14
2023-05-07T20:25:19.550Z | Fjfnu | user19 | 10
2023-05-07T20:25:19.601Z | Fjfnu | user5 | 18
2023-05-07T20:25:19.631Z | Fjfnu | user7 | 36
2023-05-07T20:25:19.619Z | Fjfnu | user3 | 40
2023-05-07T20:25:19.642Z | Fjfnu | user9 | 16
2023-05-07T20:25:19.646Z | Fjfnu | user8 | 20
2023-05-07T20:25:19.526Z | Fjfnu | user14 | 24
2023-05-07T20:25:19.828Z | Fjfnu | user12 | 40
2023-05-07T20:25:19.928Z | Fjfnu | user17 | 18
2023-05-07T20:25:19.978Z | Fjfnu | user10 | 26
2023-05-07T20:25:20.118Z | Fjfnu | user2 | 48
2023-05-07T20:25:20.163Z | Fjfnu | user0 | 40
2023-05-07T20:25:20.235Z | Fjfnu | user1 | 34
2023-05-07T20:25:20.278Z | Fjfnu | user18 | 60
2023-05-07T20:25:20.364Z | Fjfnu | mansi | 18
2023-05-07T20:25:20.430Z | Fjfnu | user13 | 40
2023-05-07T20:25:20.486Z | Fjfnu | user6 | 28
2023-05-07T20:25:20.486Z | Fjfnu | user11 | 62
2023-05-07T20:25:20.530Z | Fjfnu | user14 | 38
2023-05-07T20:25:20.557Z | Fjfnu | user19 | 14
2023-05-07T20:25:20.603Z | Fjfnu | user5 | 46
2023-05-07T20:25:20.633Z | Fjfnu | user3 | 60
2023-05-07T20:25:20.646Z | Fjfnu | user7 | 54
2023-05-07T20:25:20.650Z | Fjfnu | user9 | 46
2023-05-07T20:25:20.652Z | Fjfnu | user8 | 54
2023-05-07T20:25:18.779Z | Fjfnu | user4 | 10
2023-05-07T20:25:19.800Z | Fjfnu | user4 | 20
2023-05-07T20:25:20.801Z | Fjfnu | user4 | 20
2023-05-07T20:25:20.837Z | Fjfnu | user12 | 56
2023-05-07T20:25:20.929Z | Fjfnu | user17 | 50
2023-05-07T20:25:20.980Z | Fjfnu | user10 | 63
2023-05-07T20:25:21.126Z | Fjfnu | user2 | 63
2023-05-07T20:25:21.178Z | Fjfnu | user0 | 63
2023-05-07T20:25:21.238Z | Fjfnu | user1 | 52
2023-05-07T20:25:21.285Z | Fjfnu | user18 | 63
2023-05-07T20:25:21.367Z | Fjfnu | mansi | 20
2023-05-07T20:25:21.436Z | Fjfnu | user13 | 63
2023-05-07T20:25:21.494Z | Fjfnu | user11 | 64
2023-05-07T20:25:21.502Z | Fjfnu | user6 | 64
2023-05-07T20:25:21.542Z | Fjfnu | user14 | 64
2023-05-07T20:25:21.560Z | Fjfnu | user19 | 16
2023-05-07T20:25:21.608Z | Fjfnu | user5 | 63
2023-05-07T20:25:21.645Z | Fjfnu | user3 | 64
2023-05-07T20:25:21.648Z | Fjfnu | user7 | 63
2023-05-07T20:25:21.652Z | Fjfnu | user9 | 63
2023-05-07T20:25:21.666Z | Fjfnu | user8 | 64
2023-05-07T20:25:21.808Z | Fjfnu | user4 | 24
2023-05-07T20:25:21.844Z | Fjfnu | user12 | 64
2023-05-07T20:25:21.934Z | Fjfnu | user17 | 64
2023-05-07T20:25:21.983Z | Fjfnu | user10 | 64
2023-05-07T20:25:22.129Z | Fjfnu | user2 | 64
2023-05-07T20:25:22.183Z | Fjfnu | user0 | 65
2023-05-07T20:25:22.242Z | Fjfnu | user1 | 65
2023-05-07T20:25:22.289Z | Fjfnu | user18 | 65
2023-05-07T20:25:22.368Z | Fjfnu | mansi | 20
2023-05-07T20:25:22.443Z | Fjfnu | user13 | 65
2023-05-07T20:25:22.500Z | Fjfnu | user11 | 65
2023-05-07T20:25:22.509Z | Fjfnu | user6 | 65
2023-05-07T20:25:22.547Z | Fjfnu | user14 | 65
2023-05-07T20:25:22.564Z | Fjfnu | user19 | 16
2023-05-07T20:25:22.617Z | Fjfnu | user5 | 65
2023-05-07T20:25:22.647Z | Fjfnu | user3 | 65
2023-05-07T20:25:22.659Z | Fjfnu | user7 | 65
2023-05-07T20:25:22.659Z | Fjfnu | user9 | 65
2023-05-07T20:25:22.676Z | Fjfnu | user8 | 65
2023-05-07T20:25:22.810Z | Fjfnu | user4 | 65
2023-05-07T20:25:22.847Z | Fjfnu | user12 | 65
2023-05-07T20:25:22.942Z | Fjfnu | user17 | 65
2023-05-07T20:25:22.985Z | Fjfnu | user10 | 65
2023-05-07T20:25:23.144Z | Fjfnu | user2 | 65
2023-05-07T20:25:23.185Z | Fjfnu | user0 | 65
2023-05-07T20:25:23.244Z | Fjfnu | user1 | 65
2023-05-07T20:25:23.292Z | Fjfnu | user18 | 66
2023-05-07T20:25:23.370Z | Fjfnu | mansi | 22
2023-05-07T20:25:23.449Z | Fjfnu | user13 | 65
2023-05-07T20:25:23.503Z | Fjfnu | user11 | 66
2023-05-07T20:25:23.510Z | Fjfnu | user6 | 65
2023-05-07T20:25:23.550Z | Fjfnu | user14 | 66
2023-05-07T20:25:23.566Z | Fjfnu | user19 | 18
2023-05-07T20:25:23.629Z | Fjfnu | user5 | 65
2023-05-07T20:25:23.661Z | Fjfnu | user9 | 66
2023-05-07T20:25:23.661Z | Fjfnu | user3 | 66
2023-05-07T20:25:23.667Z | Fjfnu | user7 | 66
2023-05-07T20:25:23.692Z | Fjfnu | user8 | 66
2023-05-07T20:25:23.826Z | Fjfnu | user4 | 66
2023-05-07T20:25:23.862Z | Fjfnu | user12 | 66
2023-05-07T20:25:23.948Z | Fjfnu | user17 | 66
2023-05-07T20:25:23.997Z | Fjfnu | user10 | 66
2023-05-07T20:25:24.148Z | Fjfnu | user2 | 67
2023-05-07T20:25:24.190Z | Fjfnu | user0 | 67
2023-05-07T20:25:24.247Z | Fjfnu | user1 | 67
2023-05-07T20:25:24.296Z | Fjfnu | user18 | 67
2023-05-07T20:25:24.371Z | Fjfnu | mansi | 22
2023-05-07T20:25:24.451Z | Fjfnu | user13 | 67
2023-05-07T20:25:24.513Z | Fjfnu | user11 | 67
2023-05-07T20:25:24.515Z | Fjfnu | user6 | 67
2023-05-07T20:25:24.551Z | Fjfnu | user14 | 67
2023-05-07T20:25:24.568Z | Fjfnu | user19 | 18
2023-05-07T20:25:24.643Z | Fjfnu | user5 | 67
2023-05-07T20:25:24.668Z | Fjfnu | user9 | 67
2023-05-07T20:25:24.668Z | Fjfnu | user3 | 67
2023-05-07T20:25:24.677Z | Fjfnu | user7 | 67
2023-05-07T20:25:24.695Z | Fjfnu | user8 | 67
2023-05-07T20:25:24.829Z | Fjfnu | user4 | 67
2023-05-07T20:25:24.867Z | Fjfnu | user12 | 67
2023-05-07T20:25:24.951Z | Fjfnu | user17 | 67
2023-05-07T20:25:25.066Z | Fjfnu | user10 | 67
2023-05-07T20:25:25.167Z | Fjfnu | user2 | 67
2023-05-07T20:25:25.214Z | Fjfnu | user0 | 67
2023-05-07T20:25:25.249Z | Fjfnu | user1 | 67
2023-05-07T20:25:25.298Z | Fjfnu | user18 | 67
2023-05-07T20:25:25.373Z | Fjfnu | mansi | 23
2023-05-07T20:25:25.453Z | Fjfnu | user13 | 67
2023-05-07T20:25:25.528Z | Fjfnu | user6 | 67
2023-05-07T20:25:25.517Z | Fjfnu | user11 | 67
2023-05-07T20:25:25.569Z | Fjfnu | user19 | 20
2023-05-07T20:25:25.559Z | Fjfnu | user14 | 67
2023-05-07T20:25:25.670Z | Fjfnu | user9 | 67
2023-05-07T20:25:25.677Z | Fjfnu | user3 | 67
2023-05-07T20:25:25.647Z | Fjfnu | user5 | 67
2023-05-07T20:25:25.684Z | Fjfnu | user7 | 67
2023-05-07T20:25:25.698Z | Fjfnu | user8 | 67
2023-05-07T20:25:25.831Z | Fjfnu | user4 | 67
2023-05-07T20:25:25.869Z | Fjfnu | user12 | 67
2023-05-07T20:25:26.069Z | Fjfnu | user10 | 67
2023-05-07T20:25:26.170Z | Fjfnu | user2 | 67
2023-05-07T20:25:26.222Z | Fjfnu | user0 | 69
2023-05-07T20:25:26.253Z | Fjfnu | user1 | 69
2023-05-07T20:25:26.301Z | Fjfnu | user18 | 69
2023-05-07T20:25:26.376Z | Fjfnu | mansi | 23
2023-05-07T20:25:26.460Z | Fjfnu | user13 | 69
2023-05-07T20:25:26.518Z | Fjfnu | user11 | 69
2023-05-07T20:25:26.531Z | Fjfnu | user6 | 69
2023-05-07T20:25:26.563Z | Fjfnu | user14 | 69
2023-05-07T20:25:26.575Z | Fjfnu | user19 | 20
2023-05-07T20:25:26.654Z | Fjfnu | user5 | 69
2023-05-07T20:25:26.675Z | Fjfnu | user9 | 69
2023-05-07T20:25:26.681Z | Fjfnu | user3 | 69
2023-05-07T20:25:26.687Z | Fjfnu | user7 | 69
2023-05-07T20:25:26.700Z | Fjfnu | user8 | 69
2023-05-07T20:25:26.835Z | Fjfnu | user4 | 69
2023-05-07T20:25:26.870Z | Fjfnu | user12 | 69
2023-05-07T20:25:27.070Z | Fjfnu | user10 | 69
2023-05-07T20:25:27.176Z | Fjfnu | user2 | 69
2023-05-07T20:25:27.226Z | Fjfnu | user0 | 69
2023-05-07T20:25:27.260Z | Fjfnu | user1 | 69
2023-05-07T20:25:27.302Z | Fjfnu | user18 | 69
2023-05-07T20:25:27.378Z | Fjfnu | mansi | 25
2023-05-07T20:25:27.465Z | Fjfnu | user13 | 69
2023-05-07T20:25:27.520Z | Fjfnu | user11 | 69
2023-05-07T20:25:27.549Z | Fjfnu | user6 | 69
2023-05-07T20:25:27.565Z | Fjfnu | user14 | 69
2023-05-07T20:25:27.578Z | Fjfnu | user19 | 22
2023-05-07T20:25:27.661Z | Fjfnu | user5 | 69
2023-05-07T20:25:27.678Z | Fjfnu | user9 | 69
2023-05-07T20:25:27.683Z | Fjfnu | user3 | 69
2023-05-07T20:25:27.694Z | Fjfnu | user7 | 69
2023-05-07T20:25:27.702Z | Fjfnu | user8 | 69
2023-05-07T20:25:27.846Z | Fjfnu | user4 | 69
2023-05-07T20:25:27.881Z | Fjfnu | user12 | 69
2023-05-07T20:25:28.077Z | Fjfnu | user10 | 69
2023-05-07T20:25:28.179Z | Fjfnu | user2 | 70
2023-05-07T20:25:28.227Z | Fjfnu | user0 | 70
2023-05-07T20:25:28.262Z | Fjfnu | user1 | 70
2023-05-07T20:25:28.308Z | Fjfnu | user18 | 70
2023-05-07T20:25:28.379Z | Fjfnu | mansi | 25
2023-05-07T20:25:28.475Z | Fjfnu | user13 | 70
2023-05-07T20:25:25.952Z | Fjfnu | user17 | 67
2023-05-07T20:25:27.963Z | Fjfnu | user17 | 69
2023-05-07T20:25:26.955Z | Fjfnu | user17 | 69
2023-05-07T20:25:28.525Z | Fjfnu | user11 | 70
2023-05-07T20:25:28.553Z | Fjfnu | user6 | 70
2023-05-07T20:25:28.568Z | Fjfnu | user14 | 70
2023-05-07T20:25:28.581Z | Fjfnu | user19 | 22
2023-05-07T20:25:28.663Z | Fjfnu | user5 | 70
2023-05-07T20:25:28.682Z | Fjfnu | user9 | 70
2023-05-07T20:25:28.687Z | Fjfnu | user3 | 70
2023-05-07T20:25:28.696Z | Fjfnu | user7 | 70
2023-05-07T20:25:28.709Z | Fjfnu | user8 | 70
2023-05-07T20:25:28.847Z | Fjfnu | user4 | 70
2023-05-07T20:25:28.884Z | Fjfnu | user12 | 70
2023-05-07T20:25:29.087Z | Fjfnu | user10 | 70
2023-05-07T20:25:29.185Z | Fjfnu | user2 | 70
2023-05-07T20:25:29.231Z | Fjfnu | user0 | 70
2023-05-07T20:25:29.265Z | Fjfnu | user1 | 70
2023-05-07T20:25:28.967Z | Fjfnu | user17 | 68
2023-05-07T20:25:29.316Z | Fjfnu | user18 | 70
2023-05-07T20:25:29.381Z | Fjfnu | mansi | 27
2023-05-07T20:25:29.481Z | Fjfnu | user13 | 70
2023-05-07T20:25:29.528Z | Fjfnu | user11 | 70
2023-05-07T20:25:29.578Z | Fjfnu | user14 | 70
2023-05-07T20:25:29.564Z | Fjfnu | user6 | 70
2023-05-07T20:25:29.583Z | Fjfnu | user19 | 23
2023-05-07T20:25:29.668Z | Fjfnu | user5 | 70
2023-05-07T20:25:29.684Z | Fjfnu | user9 | 70
2023-05-07T20:25:29.696Z | Fjfnu | user3 | 71
2023-05-07T20:25:29.702Z | Fjfnu | user7 | 71
2023-05-07T20:25:29.712Z | Fjfnu | user8 | 71
2023-05-07T20:25:29.849Z | Fjfnu | user4 | 71
2023-05-07T20:25:29.894Z | Fjfnu | user12 | 71
2023-05-07T20:25:29.969Z | Fjfnu | user17 | 69
2023-05-07T20:25:30.096Z | Fjfnu | user10 | 71
