2023-05-07T18:12:49.634Z | DsU04 | desmond | 74
2023-05-07T18:12:50.652Z | DsU04 | user0 | 87
2023-05-07T18:12:50.651Z | DsU04 | desmond | 86
2023-05-07T18:12:51.660Z | DsU04 | user0 | 87
2023-05-07T18:13:01.689Z | DsU04 | user0 | 87
2023-05-07T18:13:01.739Z | DsU04 | desmond | 86
2023-05-07T18:13:02.696Z | DsU04 | user0 | 87
2023-05-07T18:13:02.747Z | DsU04 | desmond | 86
2023-05-07T18:13:03.698Z | DsU04 | user0 | 87
2023-05-07T18:13:03.756Z | DsU04 | desmond | 85
2023-05-07T18:13:04.705Z | DsU04 | user0 | 87
2023-05-07T18:13:04.770Z | DsU04 | desmond | 85
2023-05-07T18:13:05.710Z | DsU04 | user0 | 87
2023-05-07T18:13:05.778Z | DsU04 | desmond | 85
2023-05-07T18:13:06.717Z | DsU04 | user0 | 87
2023-05-07T18:13:07.722Z | DsU04 | user0 | 86
2023-05-07T18:13:06.786Z | DsU04 | desmond | 85
2023-05-07T18:13:07.794Z | DsU04 | desmond | 85
2023-05-07T18:13:08.725Z | DsU04 | user0 | 86
2023-05-07T18:13:08.802Z | DsU04 | desmond | 85
2023-05-07T18:13:09.729Z | DsU04 | user0 | 86
2023-05-07T18:13:09.810Z | DsU04 | desmond | 85
2023-05-07T18:13:10.754Z | DsU04 | user0 | 86
2023-05-07T18:13:10.818Z | DsU04 | desmond | 85
2023-05-07T18:13:11.760Z | DsU04 | user0 | 86
2023-05-07T18:13:11.826Z | DsU04 | desmond | 84
2023-05-07T18:13:12.770Z | DsU04 | user0 | 86
2023-05-07T18:13:12.833Z | DsU04 | desmond | 84
2023-05-07T18:13:13.781Z | DsU04 | user0 | 86
2023-05-07T18:13:13.842Z | DsU04 | desmond | 84
2023-05-07T18:13:14.783Z | DsU04 | user0 | 86
2023-05-07T18:13:14.851Z | DsU04 | desmond | 84
2023-05-07T18:13:15.788Z | DsU04 | user0 | 85
2023-05-07T18:13:15.866Z | DsU04 | desmond | 84
2023-05-07T18:13:16.789Z | DsU04 | user0 | 85
2023-05-07T18:13:16.875Z | DsU04 | desmond | 84
2023-05-07T18:13:17.799Z | DsU04 | user0 | 85
