2023-05-07T18:12:12.460Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:12.334Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:13.467Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:13.341Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:14.473Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:14.349Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:15.479Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:15.355Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:16.484Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:16.365Z | DsU04 | desmond | 0.0002245829945492823
2023-05-07T18:12:17.496Z | DsU04 | user0 | 0.0002637030863787496
2023-05-07T18:12:36.523Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:37.592Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:37.533Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:38.594Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:38.542Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:39.598Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:39.557Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:40.601Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:40.563Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:41.606Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:41.571Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:42.618Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:42.580Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:43.625Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:43.588Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:44.635Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:44.596Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:45.636Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:45.604Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:46.642Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:46.612Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:47.645Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:47.621Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:48.648Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:48.628Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:49.651Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:49.641Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:50.652Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:12:50.653Z | DsU04 | desmond | 0.0002266739497693618
2023-05-07T18:12:51.660Z | DsU04 | user0 | 0.00024433697182975756
2023-05-07T18:13:01.691Z | DsU04 | user0 | 0.00005112424431130572
2023-05-07T18:13:02.697Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:01.741Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:02.749Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:03.699Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:03.759Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:04.706Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:04.772Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:05.710Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:05.779Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:06.717Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:06.788Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:07.722Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:08.725Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:07.796Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:08.805Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:09.730Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:09.812Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:10.754Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:10.819Z | DsU04 | desmond | 0.00004510965012415551
2023-05-07T18:13:11.760Z | DsU04 | user0 | 0.00004510976923281061
2023-05-07T18:13:11.827Z | DsU04 | desmond | 0.0005129973410935582
2023-05-07T18:13:12.771Z | DsU04 | user0 | 0.0003878011043314335
2023-05-07T18:13:12.834Z | DsU04 | desmond | 0.0005129973410935582
2023-05-07T18:13:13.781Z | DsU04 | user0 | 0.0003878011043314335
2023-05-07T18:13:13.843Z | DsU04 | desmond | 0.0005129973410935582
2023-05-07T18:13:14.784Z | DsU04 | user0 | 0.0003878011043314335
2023-05-07T18:13:15.788Z | DsU04 | user0 | 0.0003878011043314335
