2023-05-07T19:30:14.840Z | aDxcQ | user4 | pause
2023-05-07T19:30:14.843Z | aDxcQ | user12 | pause
2023-05-07T19:30:14.840Z | aDxcQ | user0 | pause
2023-05-07T19:30:14.842Z | aDxcQ | user15 | pause
2023-05-07T19:30:14.842Z | aDxcQ | user17 | pause
2023-05-07T19:30:14.841Z | aDxcQ | user6 | pause
2023-05-07T19:30:14.851Z | aDxcQ | user2 | pause
2023-05-07T19:30:14.860Z | aDxcQ | user11 | pause
2023-05-07T19:30:14.839Z | aDxcQ | user7 | pause
2023-05-07T19:30:14.857Z | aDxcQ | user16 | pause
2023-05-07T19:30:14.850Z | aDxcQ | user5 | pause
2023-05-07T19:30:14.869Z | aDxcQ | user1 | pause
2023-05-07T19:30:15.021Z | aDxcQ | user3 | pause
2023-05-07T19:30:38.272Z | aDxcQ | desmond | play
2023-05-07T19:30:38.310Z | aDxcQ | user7 | play
2023-05-07T19:30:38.352Z | aDxcQ | user5 | play
2023-05-07T19:30:38.336Z | aDxcQ | user16 | play
2023-05-07T19:30:38.361Z | aDxcQ | user12 | play
2023-05-07T19:30:38.352Z | aDxcQ | user1 | play
2023-05-07T19:30:38.311Z | aDxcQ | user14 | play
2023-05-07T19:30:38.383Z | aDxcQ | user0 | play
2023-05-07T19:30:38.395Z | aDxcQ | user11 | play
2023-05-07T19:30:38.499Z | aDxcQ | user6 | play
2023-05-07T19:30:38.379Z | aDxcQ | user15 | play
2023-05-07T19:30:38.379Z | aDxcQ | user2 | play
2023-05-07T19:30:38.409Z | aDxcQ | user4 | play
2023-05-07T19:30:38.805Z | aDxcQ | user17 | play
2023-05-07T19:30:38.638Z | aDxcQ | user3 | play
2023-05-07T19:30:56.264Z | aDxcQ | desmond | pause
2023-05-07T19:30:56.281Z | aDxcQ | user3 | pause
2023-05-07T19:30:56.282Z | aDxcQ | user5 | pause
2023-05-07T19:30:56.281Z | aDxcQ | user7 | pause
2023-05-07T19:30:56.285Z | aDxcQ | user2 | pause
2023-05-07T19:30:56.285Z | aDxcQ | user1 | pause
2023-05-07T19:30:56.287Z | aDxcQ | user4 | pause
2023-05-07T19:30:56.302Z | aDxcQ | user12 | pause
2023-05-07T19:30:56.287Z | aDxcQ | user17 | pause
2023-05-07T19:30:56.286Z | aDxcQ | user15 | pause
2023-05-07T19:30:56.303Z | aDxcQ | user14 | pause
2023-05-07T19:30:56.285Z | aDxcQ | user0 | pause
2023-05-07T19:30:56.351Z | aDxcQ | user11 | pause
2023-05-07T19:30:56.721Z | aDxcQ | user6 | pause
2023-05-07T19:30:56.712Z | aDxcQ | user16 | pause
2023-05-07T19:32:05.112Z | aDxcQ | desmond | play
2023-05-07T19:32:05.170Z | aDxcQ | user15 | play
2023-05-07T19:32:05.165Z | aDxcQ | user14 | play
2023-05-07T19:32:05.171Z | aDxcQ | user17 | play
2023-05-07T19:32:05.173Z | aDxcQ | user6 | play
2023-05-07T19:32:05.172Z | aDxcQ | user7 | play
2023-05-07T19:32:05.168Z | aDxcQ | user1 | play
2023-05-07T19:32:05.186Z | aDxcQ | user0 | play
2023-05-07T19:32:05.165Z | aDxcQ | user16 | play
2023-05-07T19:32:05.180Z | aDxcQ | user5 | play
2023-05-07T19:32:05.214Z | aDxcQ | user12 | play
2023-05-07T19:32:05.301Z | aDxcQ | user2 | play
2023-05-07T19:32:05.301Z | aDxcQ | user3 | play
2023-05-07T19:32:05.360Z | aDxcQ | user11 | play
2023-05-07T19:32:05.350Z | aDxcQ | user4 | play
2023-05-07T19:32:49.934Z | aDxcQ | user14 | pause
2023-05-07T19:32:49.955Z | aDxcQ | user0 | pause
2023-05-07T19:32:49.968Z | aDxcQ | user16 | pause
2023-05-07T19:32:49.953Z | aDxcQ | user4 | pause
2023-05-07T19:32:49.955Z | aDxcQ | user7 | pause
2023-05-07T19:32:49.966Z | aDxcQ | user6 | pause
2023-05-07T19:32:49.958Z | aDxcQ | user17 | pause
2023-05-07T19:32:49.953Z | aDxcQ | user5 | pause
2023-05-07T19:32:49.954Z | aDxcQ | user15 | pause
2023-05-07T19:32:49.972Z | aDxcQ | user1 | pause
2023-05-07T19:32:49.970Z | aDxcQ | user11 | pause
2023-05-07T19:32:49.987Z | aDxcQ | user2 | pause
2023-05-07T19:32:49.997Z | aDxcQ | user12 | pause
2023-05-07T19:32:50.013Z | aDxcQ | user3 | pause
2023-05-07T19:33:06.777Z | aDxcQ | desmond | pause
2023-05-07T19:33:18.322Z | aDxcQ | desmond | play
2023-05-07T19:33:18.357Z | aDxcQ | user15 | play
2023-05-07T19:33:18.366Z | aDxcQ | user7 | play
2023-05-07T19:33:18.365Z | aDxcQ | user3 | play
2023-05-07T19:33:18.372Z | aDxcQ | user4 | play
2023-05-07T19:33:18.378Z | aDxcQ | user2 | play
2023-05-07T19:33:18.366Z | aDxcQ | user17 | play
2023-05-07T19:33:18.380Z | aDxcQ | user16 | play
2023-05-07T19:33:18.383Z | aDxcQ | user12 | play
2023-05-07T19:33:18.380Z | aDxcQ | user1 | play
2023-05-07T19:33:18.382Z | aDxcQ | user14 | play
2023-05-07T19:33:18.390Z | aDxcQ | user5 | play
2023-05-07T19:33:18.383Z | aDxcQ | user6 | play
2023-05-07T19:33:18.395Z | aDxcQ | user11 | play
2023-05-07T19:33:18.390Z | aDxcQ | user0 | play
2023-05-07T19:33:49.264Z | aDxcQ | desmond | pause
2023-05-07T19:33:49.284Z | aDxcQ | user4 | pause
2023-05-07T19:33:49.290Z | aDxcQ | user14 | pause
2023-05-07T19:33:49.287Z | aDxcQ | user6 | pause
2023-05-07T19:33:49.288Z | aDxcQ | user12 | pause
2023-05-07T19:33:49.290Z | aDxcQ | user15 | pause
2023-05-07T19:33:49.284Z | aDxcQ | user0 | pause
2023-05-07T19:33:49.284Z | aDxcQ | user5 | pause
2023-05-07T19:33:49.290Z | aDxcQ | user2 | pause
2023-05-07T19:33:49.304Z | aDxcQ | user11 | pause
2023-05-07T19:33:49.294Z | aDxcQ | user16 | pause
2023-05-07T19:33:49.310Z | aDxcQ | user1 | pause
2023-05-07T19:33:49.490Z | aDxcQ | user7 | pause
2023-05-07T19:33:49.539Z | aDxcQ | user17 | pause
2023-05-07T19:33:49.567Z | aDxcQ | user3 | pause
2023-05-07T19:33:52.803Z | aDxcQ | desmond | play
2023-05-07T19:33:52.824Z | aDxcQ | user11 | play
2023-05-07T19:33:52.825Z | aDxcQ | user12 | play
2023-05-07T19:33:52.827Z | aDxcQ | user15 | play
2023-05-07T19:33:52.836Z | aDxcQ | user4 | play
2023-05-07T19:33:52.818Z | aDxcQ | user0 | play
2023-05-07T19:33:52.837Z | aDxcQ | user17 | play
2023-05-07T19:33:52.850Z | aDxcQ | user1 | play
2023-05-07T19:33:52.851Z | aDxcQ | user7 | play
2023-05-07T19:33:52.838Z | aDxcQ | user16 | play
2023-05-07T19:33:52.834Z | aDxcQ | user6 | play
2023-05-07T19:33:52.841Z | aDxcQ | user14 | play
2023-05-07T19:33:52.833Z | aDxcQ | user5 | play
2023-05-07T19:33:52.851Z | aDxcQ | user2 | play
2023-05-07T19:33:52.960Z | aDxcQ | user3 | play
2023-05-07T19:34:25.214Z | aDxcQ | desmond | pause
2023-05-07T19:34:25.256Z | aDxcQ | user3 | pause
2023-05-07T19:34:25.262Z | aDxcQ | user1 | pause
2023-05-07T19:34:25.255Z | aDxcQ | user7 | pause
2023-05-07T19:34:25.257Z | aDxcQ | user14 | pause
2023-05-07T19:34:25.261Z | aDxcQ | user4 | pause
2023-05-07T19:34:25.260Z | aDxcQ | user12 | pause
2023-05-07T19:34:25.269Z | aDxcQ | user17 | pause
2023-05-07T19:34:25.311Z | aDxcQ | user2 | pause
2023-05-07T19:34:25.411Z | aDxcQ | user0 | pause
2023-05-07T19:34:25.428Z | aDxcQ | user16 | pause
2023-05-07T19:34:25.300Z | aDxcQ | user15 | pause
2023-05-07T19:34:25.258Z | aDxcQ | user11 | pause
2023-05-07T19:34:25.631Z | aDxcQ | user6 | pause
2023-05-07T19:34:25.280Z | aDxcQ | user5 | pause
