2023-05-07T19:25:10.785Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:10.836Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:10.838Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:11.071Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:11.234Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:11.285Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:11.319Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:11.352Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:11.403Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:11.434Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:11.519Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:11.556Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:11.739Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:11.796Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:11.796Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:11.793Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:11.845Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:11.845Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:12.081Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:12.239Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:12.287Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:12.328Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:12.356Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:12.409Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:12.443Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:12.535Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:12.567Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:12.799Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:12.809Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:12.746Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:12.802Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:12.852Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:12.852Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:13.088Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:13.295Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:13.247Z | aDxcQ | user7 | 0.000028603815328897415
