2023-05-07T18:42:34.780Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:35.892Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:36.268Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:36.452Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:35.796Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:36.624Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:36.615Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:36.901Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:37.275Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:37.462Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:37.617Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:36.814Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:37.642Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:37.905Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:38.286Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:38.465Z | PViyg | user2 | 0.00013484704361137274
2023-05-07T18:42:37.829Z | PViyg | Desmond | 0.00012395024004809615
2023-05-07T18:42:38.621Z | PViyg | user0 | 0.00006538032618375493
2023-05-07T18:42:38.668Z | PViyg | mansi | 0.00046583686147661375
2023-05-07T18:42:38.917Z | PViyg | user1 | 0.000025879722987640378
2023-05-07T18:42:50.361Z | PViyg | user3 | 0.00003132817895980868
2023-05-07T18:42:49.932Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:50.552Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:50.695Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:50.913Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:51.019Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:51.364Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:51.562Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:50.938Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:51.698Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:51.925Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:52.028Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:52.369Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:52.565Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:52.705Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:51.948Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:52.957Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:53.037Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:53.372Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:53.571Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:53.714Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:52.960Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:53.969Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:54.043Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:54.382Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:54.580Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:54.727Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:53.974Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:54.982Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:55.048Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:55.385Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:55.582Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:55.732Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:54.988Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:56.008Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:56.058Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:56.393Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:56.591Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:56.735Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:56.004Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:57.034Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:57.067Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:57.402Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:57.601Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:57.744Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:57.012Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:58.052Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:58.069Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:58.406Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:58.604Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:58.748Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:58.027Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:42:59.062Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:42:59.079Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:42:59.413Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:42:59.608Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:42:59.754Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:42:59.037Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:00.081Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:00.091Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:00.418Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:00.615Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:00.759Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:00.051Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:01.084Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:01.108Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:01.419Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:01.625Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:01.761Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:01.061Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:02.093Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:02.124Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:02.427Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:02.631Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:02.767Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:02.079Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:03.098Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:03.144Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:03.433Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:03.638Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:03.773Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:03.093Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:04.104Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:04.168Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:04.440Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:04.644Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:04.781Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:04.110Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:05.111Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:05.194Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:05.443Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:05.648Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:05.793Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:05.124Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:06.119Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:06.203Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:06.448Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:06.650Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:06.794Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:06.132Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:07.128Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:07.236Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:07.456Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:07.661Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:07.796Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:07.141Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:08.137Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:08.465Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:08.666Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:08.786Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:08.799Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:08.156Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:09.141Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:09.476Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:09.668Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:09.804Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:09.172Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:10.149Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:10.484Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:10.671Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:10.771Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:10.807Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:10.191Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:11.154Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:11.487Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:11.676Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:11.810Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:11.206Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:12.158Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:12.496Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:12.677Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:12.776Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:12.814Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:12.220Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:13.162Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:13.507Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:13.680Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:13.816Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:13.237Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:14.164Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:14.509Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:14.683Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:14.779Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:14.823Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:14.253Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:15.173Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:15.517Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:15.696Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:15.782Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:15.829Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:15.265Z | PViyg | Desmond | 0.000042761782311029704
2023-05-07T18:43:16.178Z | PViyg | user1 | 0.0003777311219816933
2023-05-07T18:43:16.525Z | PViyg | user3 | 0.00044044834733944824
2023-05-07T18:43:16.715Z | PViyg | user2 | 0.00039341010254450985
2023-05-07T18:43:16.790Z | PViyg | mansi | 0.00003991097332854846
2023-05-07T18:43:16.834Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:29.920Z | PViyg | user0 | 0.00045042465723096946
2023-05-07T18:43:29.994Z | PViyg | mansi | 0.000016268990422770718
2023-05-07T18:43:29.387Z | PViyg | Desmond | 0.00012423628939439745
2023-05-07T18:43:30.257Z | PViyg | user1 | 0.0001079670111737219
2023-05-07T18:43:30.601Z | PViyg | user3 | 0.00025143072884789965
