2023-05-07T19:13:37.875Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:38.157Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:38.230Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:38.410Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:38.404Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:38.612Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:38.740Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:38.822Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:38.839Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:38.845Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:38.874Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:38.883Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:39.165Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:39.238Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:39.419Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:39.413Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:39.622Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:39.748Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:39.832Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:39.846Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:39.852Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:39.881Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:39.889Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:40.172Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:40.244Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:40.420Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:40.425Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:40.629Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:40.756Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:40.859Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:40.852Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:40.858Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:40.886Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:40.897Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:41.178Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:41.251Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:41.428Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:41.434Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:41.636Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:41.765Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:41.854Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:41.877Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:41.869Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:41.896Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:41.904Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:42.188Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:42.259Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:42.435Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:42.441Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:42.642Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:42.768Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:42.858Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:42.873Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:42.898Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:42.900Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:42.909Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:43.192Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:43.267Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:43.444Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:43.438Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:43.649Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:43.775Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:43.921Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:43.862Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:43.906Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:43.878Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:43.915Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:44.203Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:44.274Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:44.441Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:44.447Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:44.659Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:44.785Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:44.919Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:44.913Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:44.886Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:44.942Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:44.868Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:45.207Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:45.279Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:45.454Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:45.448Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:45.666Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:45.792Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:45.874Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:45.889Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:45.917Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:45.926Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:45.956Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:46.216Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:46.289Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:46.455Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:46.461Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:46.672Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:46.797Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:46.887Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:46.893Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:46.930Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:46.920Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:46.976Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:47.221Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:47.294Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:47.462Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:47.468Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:47.679Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:47.930Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:47.992Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:47.798Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:47.903Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:47.942Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:47.896Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:48.223Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:48.303Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:48.473Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:48.467Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:48.686Z | mtYK9 | user0 | 0.00004767316879472155
