2023-05-07T19:04:01.325Z | nDp8H | user0 | 35
2023-05-07T19:04:01.557Z | nDp8H | user1 | 35
2023-05-07T19:04:01.766Z | nDp8H | desmond | 26
2023-05-07T19:04:01.602Z | nDp8H | user2 | 35
2023-05-07T19:04:01.961Z | nDp8H | user4 | 181
2023-05-07T19:04:02.330Z | nDp8H | user0 | 178
2023-05-07T19:04:02.372Z | nDp8H | user3 | 181
2023-05-07T19:04:02.567Z | nDp8H | user1 | 180
2023-05-07T19:04:02.609Z | nDp8H | user2 | 181
2023-05-07T19:04:02.781Z | nDp8H | desmond | 181
2023-05-07T19:04:02.963Z | nDp8H | user4 | 181
2023-05-07T19:04:03.332Z | nDp8H | user0 | 181
2023-05-07T19:04:03.375Z | nDp8H | user3 | 181
2023-05-07T19:04:03.572Z | nDp8H | user1 | 181
2023-05-07T19:04:03.610Z | nDp8H | user2 | 181
2023-05-07T19:04:03.815Z | nDp8H | desmond | 182
2023-05-07T19:04:03.972Z | nDp8H | user4 | 182
2023-05-07T19:04:04.339Z | nDp8H | user0 | 182
2023-05-07T19:04:04.379Z | nDp8H | user3 | 182
2023-05-07T19:04:04.573Z | nDp8H | user1 | 182
2023-05-07T19:04:04.616Z | nDp8H | user2 | 182
2023-05-07T19:04:04.827Z | nDp8H | desmond | 182
2023-05-07T19:04:04.976Z | nDp8H | user4 | 182
2023-05-07T19:04:05.343Z | nDp8H | user0 | 182
2023-05-07T19:04:05.387Z | nDp8H | user3 | 182
2023-05-07T19:04:05.581Z | nDp8H | user1 | 182
2023-05-07T19:04:05.623Z | nDp8H | user2 | 182
2023-05-07T19:04:05.844Z | nDp8H | desmond | 182
2023-05-07T19:04:05.978Z | nDp8H | user4 | 182
2023-05-07T19:04:06.344Z | nDp8H | user0 | 182
2023-05-07T19:04:06.396Z | nDp8H | user3 | 182
2023-05-07T19:04:06.591Z | nDp8H | user1 | 182
2023-05-07T19:04:06.634Z | nDp8H | user2 | 182
2023-05-07T19:04:06.863Z | nDp8H | desmond | 182
2023-05-07T19:04:06.985Z | nDp8H | user4 | 182
2023-05-07T19:04:07.348Z | nDp8H | user0 | 182
2023-05-07T19:04:07.406Z | nDp8H | user3 | 182
2023-05-07T19:04:07.592Z | nDp8H | user1 | 182
2023-05-07T19:04:07.643Z | nDp8H | user2 | 182
2023-05-07T19:04:07.880Z | nDp8H | desmond | 182
2023-05-07T19:04:07.995Z | nDp8H | user4 | 182
2023-05-07T19:04:08.354Z | nDp8H | user0 | 182
2023-05-07T19:04:08.411Z | nDp8H | user3 | 182
2023-05-07T19:04:08.600Z | nDp8H | user1 | 182
2023-05-07T19:04:08.650Z | nDp8H | user2 | 182
2023-05-07T19:04:08.904Z | nDp8H | desmond | 182
2023-05-07T19:04:09.003Z | nDp8H | user4 | 182
2023-05-07T19:04:09.362Z | nDp8H | user0 | 182
2023-05-07T19:04:09.419Z | nDp8H | user3 | 182
2023-05-07T19:04:09.606Z | nDp8H | user1 | 182
2023-05-07T19:04:09.656Z | nDp8H | user2 | 182
2023-05-07T19:04:09.931Z | nDp8H | desmond | 182
2023-05-07T19:04:10.011Z | nDp8H | user4 | 182
2023-05-07T19:04:10.368Z | nDp8H | user0 | 182
2023-05-07T19:04:10.424Z | nDp8H | user3 | 182
2023-05-07T19:04:10.615Z | nDp8H | user1 | 182
2023-05-07T19:04:10.665Z | nDp8H | user2 | 182
2023-05-07T19:04:10.946Z | nDp8H | desmond | 182
2023-05-07T19:04:11.018Z | nDp8H | user4 | 182
2023-05-07T19:04:11.371Z | nDp8H | user0 | 182
2023-05-07T19:04:11.428Z | nDp8H | user3 | 182
2023-05-07T19:04:11.619Z | nDp8H | user1 | 182
2023-05-07T19:04:11.670Z | nDp8H | user2 | 182
2023-05-07T19:04:11.963Z | nDp8H | desmond | 183
2023-05-07T19:04:12.028Z | nDp8H | user4 | 183
2023-05-07T19:04:12.381Z | nDp8H | user0 | 183
2023-05-07T19:04:12.430Z | nDp8H | user3 | 183
2023-05-07T19:04:12.621Z | nDp8H | user1 | 183
2023-05-07T19:04:12.679Z | nDp8H | user2 | 183
2023-05-07T19:04:12.992Z | nDp8H | desmond | 183
2023-05-07T19:04:13.032Z | nDp8H | user4 | 183
2023-05-07T19:04:13.383Z | nDp8H | user0 | 183
2023-05-07T19:04:13.433Z | nDp8H | user3 | 183
2023-05-07T19:04:13.627Z | nDp8H | user1 | 183
2023-05-07T19:04:13.684Z | nDp8H | user2 | 183
2023-05-07T19:04:14.008Z | nDp8H | desmond | 183
2023-05-07T19:04:14.037Z | nDp8H | user4 | 183
2023-05-07T19:04:14.401Z | nDp8H | user0 | 183
2023-05-07T19:04:14.448Z | nDp8H | user3 | 183
2023-05-07T19:04:14.683Z | nDp8H | user1 | 183
2023-05-07T19:04:14.699Z | nDp8H | user2 | 183
2023-05-07T19:04:21.065Z | nDp8H | user4 | 183
2023-05-07T19:04:22.068Z | nDp8H | user4 | 108
2023-05-07T19:04:24.480Z | nDp8H | user0 | 183
2023-05-07T19:04:24.518Z | nDp8H | user3 | 183
2023-05-07T19:04:24.771Z | nDp8H | desmond | 183
2023-05-07T19:04:24.757Z | nDp8H | user1 | 183
2023-05-07T19:04:24.757Z | nDp8H | user2 | 183
2023-05-07T19:04:25.090Z | nDp8H | user4 | 110
2023-05-07T19:04:25.482Z | nDp8H | user0 | 107
2023-05-07T19:04:25.521Z | nDp8H | user3 | 104
2023-05-07T19:04:25.760Z | nDp8H | user1 | 107
2023-05-07T19:04:25.760Z | nDp8H | user2 | 107
2023-05-07T19:04:26.095Z | nDp8H | user4 | 110
2023-05-07T19:04:26.487Z | nDp8H | user0 | 108
2023-05-07T19:04:26.530Z | nDp8H | user3 | 108
2023-05-07T19:04:26.776Z | nDp8H | desmond | 107
2023-05-07T19:04:26.767Z | nDp8H | user1 | 108
2023-05-07T19:04:26.770Z | nDp8H | user2 | 108
2023-05-07T19:04:27.103Z | nDp8H | user4 | 109
2023-05-07T19:04:27.497Z | nDp8H | user0 | 109
2023-05-07T19:04:27.536Z | nDp8H | user3 | 107
2023-05-07T19:04:27.772Z | nDp8H | user2 | 107
2023-05-07T19:04:27.776Z | nDp8H | user1 | 107
2023-05-07T19:04:28.108Z | nDp8H | user4 | 108
2023-05-07T19:04:28.504Z | nDp8H | user0 | 108
2023-05-07T19:04:28.545Z | nDp8H | user3 | 107
2023-05-07T19:04:28.772Z | nDp8H | desmond | 107
2023-05-07T19:04:28.780Z | nDp8H | user1 | 107
2023-05-07T19:04:28.774Z | nDp8H | user2 | 107
2023-05-07T19:04:29.114Z | nDp8H | user4 | 108
2023-05-07T19:04:29.551Z | nDp8H | user3 | 108
2023-05-07T19:04:29.509Z | nDp8H | user0 | 107
2023-05-07T19:04:29.785Z | nDp8H | user1 | 107
2023-05-07T19:04:29.779Z | nDp8H | user2 | 107
2023-05-07T19:04:30.122Z | nDp8H | user4 | 109
2023-05-07T19:04:30.513Z | nDp8H | user0 | 107
2023-05-07T19:04:30.559Z | nDp8H | user3 | 107
2023-05-07T19:04:30.782Z | nDp8H | desmond | 108
2023-05-07T19:04:30.782Z | nDp8H | user2 | 107
2023-05-07T19:04:30.791Z | nDp8H | user1 | 107
2023-05-07T19:04:31.124Z | nDp8H | user4 | 108
2023-05-07T19:04:31.518Z | nDp8H | user0 | 107
2023-05-07T19:04:31.566Z | nDp8H | user3 | 107
2023-05-07T19:04:31.797Z | nDp8H | user1 | 107
2023-05-07T19:04:31.789Z | nDp8H | user2 | 107
2023-05-07T19:04:32.126Z | nDp8H | user4 | 107
2023-05-07T19:04:32.523Z | nDp8H | user0 | 107
2023-05-07T19:04:32.571Z | nDp8H | user3 | 106
2023-05-07T19:04:32.772Z | nDp8H | desmond | 106
2023-05-07T19:04:32.804Z | nDp8H | user1 | 106
2023-05-07T19:04:32.797Z | nDp8H | user2 | 106
2023-05-07T19:04:33.133Z | nDp8H | user4 | 106
2023-05-07T19:04:33.528Z | nDp8H | user0 | 106
2023-05-07T19:04:33.577Z | nDp8H | user3 | 105
2023-05-07T19:04:33.808Z | nDp8H | user1 | 105
2023-05-07T19:04:33.800Z | nDp8H | user2 | 105
2023-05-07T19:04:34.142Z | nDp8H | user4 | 106
2023-05-07T19:04:34.532Z | nDp8H | user0 | 105
2023-05-07T19:04:34.580Z | nDp8H | user3 | 106
2023-05-07T19:04:34.773Z | nDp8H | desmond | 107
2023-05-07T19:04:34.813Z | nDp8H | user1 | 105
2023-05-07T19:04:34.813Z | nDp8H | user2 | 104
2023-05-07T19:04:35.147Z | nDp8H | user4 | 105
2023-05-07T19:04:35.536Z | nDp8H | user0 | 105
2023-05-07T19:04:35.586Z | nDp8H | user3 | 105
2023-05-07T19:04:35.819Z | nDp8H | user1 | 104
2023-05-07T19:04:35.819Z | nDp8H | user2 | 105
2023-05-07T19:04:36.153Z | nDp8H | user4 | 104
2023-05-07T19:04:36.542Z | nDp8H | user0 | 104
2023-05-07T19:04:36.598Z | nDp8H | user3 | 104
2023-05-07T19:04:36.775Z | nDp8H | desmond | 105
2023-05-07T19:04:36.823Z | nDp8H | user1 | 104
2023-05-07T19:04:36.824Z | nDp8H | user2 | 104
2023-05-07T19:04:37.158Z | nDp8H | user4 | 103
2023-05-07T19:04:37.547Z | nDp8H | user0 | 103
2023-05-07T19:04:37.603Z | nDp8H | user3 | 103
2023-05-07T19:04:37.828Z | nDp8H | user2 | 103
2023-05-07T19:04:37.827Z | nDp8H | user1 | 103
2023-05-07T19:04:38.163Z | nDp8H | user4 | 104
2023-05-07T19:04:38.550Z | nDp8H | user0 | 102
2023-05-07T19:04:38.606Z | nDp8H | user3 | 103
2023-05-07T19:04:38.774Z | nDp8H | desmond | 103
2023-05-07T19:04:38.830Z | nDp8H | user1 | 102
2023-05-07T19:04:38.831Z | nDp8H | user2 | 102
2023-05-07T19:04:39.165Z | nDp8H | user4 | 103
2023-05-07T19:04:39.561Z | nDp8H | user0 | 101
2023-05-07T19:04:39.609Z | nDp8H | user3 | 102
2023-05-07T19:04:39.835Z | nDp8H | user1 | 102
2023-05-07T19:04:39.836Z | nDp8H | user2 | 102
2023-05-07T19:04:40.169Z | nDp8H | user4 | 102
2023-05-07T19:04:40.566Z | nDp8H | user0 | 100
2023-05-07T19:04:40.614Z | nDp8H | user3 | 101
2023-05-07T19:04:40.775Z | nDp8H | desmond | 102
2023-05-07T19:04:40.838Z | nDp8H | user1 | 101
2023-05-07T19:04:40.847Z | nDp8H | user2 | 101
2023-05-07T19:04:41.172Z | nDp8H | user4 | 102
2023-05-07T19:04:41.569Z | nDp8H | user0 | 101
2023-05-07T19:04:41.617Z | nDp8H | user3 | 100
2023-05-07T19:04:41.841Z | nDp8H | user1 | 100
2023-05-07T19:04:41.850Z | nDp8H | user2 | 100
2023-05-07T19:04:42.176Z | nDp8H | user4 | 101
2023-05-07T19:04:42.579Z | nDp8H | user0 | 101
2023-05-07T19:04:42.628Z | nDp8H | user3 | 101
2023-05-07T19:04:42.772Z | nDp8H | desmond | 100
2023-05-07T19:04:42.844Z | nDp8H | user1 | 101
2023-05-07T19:04:42.862Z | nDp8H | user2 | 101
2023-05-07T19:04:43.182Z | nDp8H | user4 | 100
2023-05-07T19:04:43.581Z | nDp8H | user0 | 100
2023-05-07T19:04:43.631Z | nDp8H | user3 | 100
2023-05-07T19:04:43.846Z | nDp8H | user1 | 100
2023-05-07T19:04:43.865Z | nDp8H | user2 | 100
2023-05-07T19:04:44.195Z | nDp8H | user4 | 99
2023-05-07T19:04:44.586Z | nDp8H | user0 | 99
2023-05-07T19:04:44.634Z | nDp8H | user3 | 99
2023-05-07T19:04:44.776Z | nDp8H | desmond | 100
2023-05-07T19:04:54.248Z | nDp8H | user4 | 99
2023-05-07T19:04:55.258Z | nDp8H | user4 | 540
2023-05-07T19:04:55.724Z | nDp8H | user3 | 99
2023-05-07T19:04:55.644Z | nDp8H | user0 | 99
2023-05-07T19:04:55.928Z | nDp8H | user1 | 99
2023-05-07T19:04:55.942Z | nDp8H | user2 | 99
2023-05-07T19:04:56.260Z | nDp8H | user4 | 540
2023-05-07T19:04:56.647Z | nDp8H | user0 | 530
2023-05-07T19:04:56.727Z | nDp8H | user3 | 531
2023-05-07T19:04:56.787Z | nDp8H | desmond | 99
2023-05-07T19:04:56.931Z | nDp8H | user1 | 531
2023-05-07T19:04:56.946Z | nDp8H | user2 | 531
2023-05-07T19:04:57.265Z | nDp8H | user4 | 540
2023-05-07T19:04:57.655Z | nDp8H | user0 | 529
2023-05-07T19:04:57.729Z | nDp8H | user3 | 531
2023-05-07T19:04:57.935Z | nDp8H | user1 | 530
2023-05-07T19:04:57.949Z | nDp8H | user2 | 530
2023-05-07T19:04:58.274Z | nDp8H | user4 | 539
2023-05-07T19:04:58.658Z | nDp8H | user0 | 528
2023-05-07T19:04:58.732Z | nDp8H | user3 | 530
2023-05-07T19:04:58.774Z | nDp8H | desmond | 530
2023-05-07T19:04:58.939Z | nDp8H | user1 | 530
2023-05-07T19:04:58.957Z | nDp8H | user2 | 530
2023-05-07T19:04:59.283Z | nDp8H | user4 | 538
2023-05-07T19:04:59.662Z | nDp8H | user0 | 527
2023-05-07T19:04:59.740Z | nDp8H | user3 | 529
2023-05-07T19:04:59.948Z | nDp8H | user1 | 529
2023-05-07T19:04:59.965Z | nDp8H | user2 | 529
2023-05-07T19:05:00.289Z | nDp8H | user4 | 537
2023-05-07T19:05:00.671Z | nDp8H | user0 | 527
2023-05-07T19:05:00.786Z | nDp8H | desmond | 529
2023-05-07T19:05:00.745Z | nDp8H | user3 | 528
2023-05-07T19:05:00.957Z | nDp8H | user1 | 528
2023-05-07T19:05:00.975Z | nDp8H | user2 | 528
2023-05-07T19:05:01.292Z | nDp8H | user4 | 536
2023-05-07T19:05:01.679Z | nDp8H | user0 | 526
2023-05-07T19:05:01.753Z | nDp8H | user3 | 527
2023-05-07T19:05:01.966Z | nDp8H | user1 | 527
2023-05-07T19:05:01.983Z | nDp8H | user2 | 527
2023-05-07T19:05:02.301Z | nDp8H | user4 | 536
2023-05-07T19:05:02.689Z | nDp8H | user0 | 525
2023-05-07T19:05:02.763Z | nDp8H | user3 | 526
2023-05-07T19:05:02.772Z | nDp8H | desmond | 527
2023-05-07T19:05:02.977Z | nDp8H | user1 | 526
2023-05-07T19:05:02.987Z | nDp8H | user2 | 526
2023-05-07T19:05:03.303Z | nDp8H | user4 | 535
2023-05-07T19:05:03.693Z | nDp8H | user0 | 524
2023-05-07T19:05:03.769Z | nDp8H | user3 | 525
2023-05-07T19:05:03.981Z | nDp8H | user1 | 525
2023-05-07T19:05:03.990Z | nDp8H | user2 | 525
2023-05-07T19:05:04.306Z | nDp8H | user4 | 534
2023-05-07T19:05:04.703Z | nDp8H | user0 | 523
2023-05-07T19:05:04.775Z | nDp8H | user3 | 524
2023-05-07T19:05:04.784Z | nDp8H | desmond | 525
2023-05-07T19:05:04.988Z | nDp8H | user1 | 524
2023-05-07T19:05:04.997Z | nDp8H | user2 | 524
2023-05-07T19:05:05.314Z | nDp8H | user4 | 533
2023-05-07T19:05:05.713Z | nDp8H | user0 | 522
2023-05-07T19:05:05.779Z | nDp8H | user3 | 524
2023-05-07T19:05:06.004Z | nDp8H | user2 | 523
2023-05-07T19:05:05.991Z | nDp8H | user1 | 523
2023-05-07T19:05:06.325Z | nDp8H | user4 | 532
2023-05-07T19:05:06.722Z | nDp8H | user0 | 521
2023-05-07T19:05:06.772Z | nDp8H | desmond | 523
2023-05-07T19:05:06.780Z | nDp8H | user3 | 523
2023-05-07T19:05:07.002Z | nDp8H | user1 | 522
