2023-05-07T19:13:43.878Z | mtYK9 | user1 | 23
2023-05-07T19:13:43.915Z | mtYK9 | user5 | 23
2023-05-07T19:13:44.202Z | mtYK9 | user9 | 23
2023-05-07T19:13:44.273Z | mtYK9 | user8 | 23
2023-05-07T19:13:44.446Z | mtYK9 | user3 | 23
2023-05-07T19:13:44.440Z | mtYK9 | user7 | 23
2023-05-07T19:13:44.784Z | mtYK9 | user6 | 23
2023-05-07T19:13:44.658Z | mtYK9 | user0 | 23
2023-05-07T19:13:44.867Z | mtYK9 | user2 | 23
2023-05-07T19:13:44.912Z | mtYK9 | user4 | 23
2023-05-07T19:13:44.885Z | mtYK9 | user1 | 23
2023-05-07T19:13:44.919Z | mtYK9 | user5 | 23
2023-05-07T19:13:44.942Z | mtYK9 | desmond | 23
2023-05-07T19:13:45.206Z | mtYK9 | user9 | 23
2023-05-07T19:13:45.279Z | mtYK9 | user8 | 23
2023-05-07T19:13:45.447Z | mtYK9 | user7 | 23
2023-05-07T19:13:45.453Z | mtYK9 | user3 | 23
2023-05-07T19:13:45.666Z | mtYK9 | user0 | 23
2023-05-07T19:13:45.792Z | mtYK9 | user6 | 23
2023-05-07T19:13:45.873Z | mtYK9 | user2 | 23
2023-05-07T19:13:45.888Z | mtYK9 | user1 | 22
2023-05-07T19:13:45.917Z | mtYK9 | user4 | 22
2023-05-07T19:13:45.925Z | mtYK9 | user5 | 23
2023-05-07T19:13:45.955Z | mtYK9 | desmond | 23
2023-05-07T19:13:46.215Z | mtYK9 | user9 | 23
2023-05-07T19:13:46.288Z | mtYK9 | user8 | 23
2023-05-07T19:13:46.460Z | mtYK9 | user3 | 22
2023-05-07T19:13:46.454Z | mtYK9 | user7 | 23
2023-05-07T19:13:46.671Z | mtYK9 | user0 | 23
2023-05-07T19:13:46.796Z | mtYK9 | user6 | 22
2023-05-07T19:13:46.885Z | mtYK9 | user2 | 23
2023-05-07T19:13:46.891Z | mtYK9 | user1 | 22
2023-05-07T19:13:46.928Z | mtYK9 | user5 | 23
2023-05-07T19:13:46.919Z | mtYK9 | user4 | 22
2023-05-07T19:13:46.975Z | mtYK9 | desmond | 23
2023-05-07T19:13:47.220Z | mtYK9 | user9 | 23
2023-05-07T19:13:47.293Z | mtYK9 | user8 | 23
2023-05-07T19:13:47.467Z | mtYK9 | user3 | 22
2023-05-07T19:13:47.461Z | mtYK9 | user7 | 23
2023-05-07T19:13:47.678Z | mtYK9 | user0 | 23
2023-05-07T19:13:47.798Z | mtYK9 | user6 | 29
2023-05-07T19:13:47.929Z | mtYK9 | user4 | 29
2023-05-07T19:13:47.991Z | mtYK9 | desmond | 36
2023-05-07T19:13:47.902Z | mtYK9 | user2 | 29
2023-05-07T19:13:47.895Z | mtYK9 | user1 | 29
2023-05-07T19:13:47.942Z | mtYK9 | user5 | 29
2023-05-07T19:13:48.222Z | mtYK9 | user9 | 29
2023-05-07T19:13:48.302Z | mtYK9 | user8 | 29
2023-05-07T19:13:48.467Z | mtYK9 | user7 | 29
2023-05-07T19:13:48.472Z | mtYK9 | user3 | 29
2023-05-07T19:13:48.686Z | mtYK9 | user0 | 29
2023-05-07T19:13:48.807Z | mtYK9 | user6 | 29
2023-05-07T19:13:48.906Z | mtYK9 | user2 | 29
2023-05-07T19:13:48.898Z | mtYK9 | user1 | 29
2023-05-07T19:13:48.940Z | mtYK9 | user4 | 29
2023-05-07T19:13:48.948Z | mtYK9 | user5 | 29
2023-05-07T19:13:49.015Z | mtYK9 | desmond | 36
2023-05-07T19:13:49.229Z | mtYK9 | user9 | 29
2023-05-07T19:13:49.311Z | mtYK9 | user8 | 29
