2023-05-07T20:49:09.703Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:09.803Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:10.012Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:10.030Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:10.050Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:10.060Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:10.061Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:10.150Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:10.161Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:10.196Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:10.211Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:10.311Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:10.423Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:10.425Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:10.459Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:10.476Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:10.478Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:10.474Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:10.609Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:10.630Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:10.674Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:10.705Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:10.806Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:11.013Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:11.052Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:11.033Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:11.063Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:11.062Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:11.152Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:11.162Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:11.197Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:11.213Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:11.311Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:11.426Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:11.426Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:11.460Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:11.476Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:11.478Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:11.479Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:11.610Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:11.635Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:11.677Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:11.708Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:11.808Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:12.015Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:12.036Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:12.053Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:12.064Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:12.068Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:12.153Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:12.163Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:12.198Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:12.214Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:12.312Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:12.427Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:12.428Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:12.462Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:12.479Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:12.478Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:12.481Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:12.612Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:12.637Z | Sg3Ii | user4 | 0.000013620870991471821
2023-05-07T20:49:12.679Z | Sg3Ii | user17 | 0.001047466237673895
2023-05-07T20:49:12.709Z | Sg3Ii | user14 | 0.00002179339881082821
2023-05-07T20:49:12.809Z | Sg3Ii | mansi | 0.00001906920769979574
2023-05-07T20:49:13.021Z | Sg3Ii | user2 | 0.00001906920203748594
2023-05-07T20:49:13.037Z | Sg3Ii | user1 | 0.0006783397163057446
2023-05-07T20:49:13.055Z | Sg3Ii | user0 | 0.000006810432248995243
2023-05-07T20:49:13.068Z | Sg3Ii | user18 | 0.000008172581660044344
2023-05-07T20:49:13.069Z | Sg3Ii | user10 | 0.00003813841155545379
2023-05-07T20:49:13.155Z | Sg3Ii | user5 | 0.00011579829126161395
2023-05-07T20:49:13.165Z | Sg3Ii | user6 | 0.000019069485027221975
2023-05-07T20:49:13.203Z | Sg3Ii | user15 | 0.0008131684781213588
2023-05-07T20:49:13.219Z | Sg3Ii | user7 | 0.001319265329322405
2023-05-07T20:49:13.316Z | Sg3Ii | user16 | 0.000019069520716473493
2023-05-07T20:49:13.429Z | Sg3Ii | user3 | 0.00003813937739343407
2023-05-07T20:49:13.429Z | Sg3Ii | user11 | 0.0005928142410170653
2023-05-07T20:49:13.463Z | Sg3Ii | user13 | 0.00002724172747465187
2023-05-07T20:49:13.480Z | Sg3Ii | user8 | 0.0004072638362858874
2023-05-07T20:49:13.481Z | Sg3Ii | user19 | 0.00002860399953707287
2023-05-07T20:49:13.486Z | Sg3Ii | user12 | 0.000005448347001417574
2023-05-07T20:49:13.613Z | Sg3Ii | user9 | 0.000009534609278447289
2023-05-07T20:49:13.638Z | Sg3Ii | user4 | 0.000013620870991471821
